latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-18.73578,126.12736,352.88,1,1,2023-03-10,0134,T,96,6.1NRT,314.51,53.21,D
-18.73715,126.13671,329.44,1,1,2023-03-10,0134,T,55,6.1NRT,315.4,12.04,D
-18.74125,126.16479,328.29,1,1,2023-03-10,0134,T,57,6.1NRT,313.19,10.31,D
-18.74607,126.13531,342.51,1,1,2023-03-10,0134,T,89,6.1NRT,314.01,30.55,D
-18.95368,126.68162,325.6,1.01,1,2023-03-10,0134,T,60,6.1NRT,314.17,8.63,D
-19.15327,126.59378,350.32,1.01,1,2023-03-10,0134,T,94,6.1NRT,313.59,47.45,D
-19.16357,126.60183,337.88,1.01,1,2023-03-10,0134,T,83,6.1NRT,313.08,23.37,D
-19.16491,126.61127,343.48,1.01,1,2023-03-10,0134,T,88,6.1NRT,315.92,32.66,D
-19.23121,125.49083,341.59,1.01,1,2023-03-10,0134,T,81,6.1NRT,316.76,29.27,D
-19.23262,125.50031,358.13,1.01,1,2023-03-10,0134,T,98,6.1NRT,315.24,62.91,D
-19.23403,125.50979,341.04,1.01,1,2023-03-10,0134,T,85,6.1NRT,313.2,26.01,D
-19.24017,125.4894,356.63,1.01,1,2023-03-10,0134,T,98,6.1NRT,314.78,60.28,D
-19.24861,125.54618,337.38,1.01,1,2023-03-10,0134,T,82,6.1NRT,316.83,17.86,D
-19.63094,127.11037,338.44,1.03,1.01,2023-03-10,0134,T,82,6.1NRT,316.19,23.99,D
-19.63999,127.109,342.41,1.03,1.01,2023-03-10,0134,T,86,6.1NRT,314.87,31.67,D
-19.64135,127.11871,329.53,1.03,1.01,2023-03-10,0134,T,54,6.1NRT,315.92,10.77,D
-19.66356,127.1451,332.79,1.03,1.02,2023-03-10,0134,T,66,6.1NRT,317.09,14.53,D
-19.92021,127.20713,327.91,1.04,1.02,2023-03-10,0134,T,30,6.1NRT,316.71,7.98,D
-19.3348,123.11411,337.69,1.22,1.1,2023-03-10,0134,T,84,6.1NRT,311.33,33.06,D
-19.3785,123.12372,347.05,1.22,1.1,2023-03-10,0134,T,92,6.1NRT,311.5,52.18,D
-19.38036,123.13515,327.39,1.22,1.1,2023-03-10,0134,T,60,6.1NRT,311.29,11.16,D
-19.46861,123.37409,342.31,1.18,1.08,2023-03-10,0134,T,88,6.1NRT,308.96,41.82,D
-19.47649,123.36131,355.56,1.18,1.08,2023-03-10,0134,T,97,6.1NRT,308.17,76.6,D
-19.47824,123.37239,350.54,1.18,1.08,2023-03-10,0134,T,94,6.1NRT,306.69,63.06,D
-19.47843,123.35435,335.86,1.18,1.08,2023-03-10,0134,T,82,6.1NRT,306.46,31.74,D
-19.48024,123.36543,334.35,1.18,1.08,2023-03-10,0134,T,80,6.1NRT,306.52,29.35,D
-19.48139,123.25051,329.1,1.2,1.09,2023-03-10,0134,T,69,6.1NRT,312.88,16.76,D
-19.48503,123.2729,349.5,1.19,1.09,2023-03-10,0134,T,93,6.1NRT,312.93,58.27,D
-19.48926,123.23758,330.6,1.2,1.09,2023-03-10,0134,T,65,6.1NRT,309.05,18.99,D
-19.49289,123.26,358.66,1.2,1.09,2023-03-10,0134,T,99,6.1NRT,314.11,86.99,D
-19.49471,123.27119,358.3,1.19,1.09,2023-03-10,0134,T,99,6.1NRT,312,85.53,D
-19.89935,123.82688,335.09,1.11,1.05,2023-03-10,0134,T,67,6.1NRT,315.05,17.81,D
-19.95121,123.87577,329.34,1.11,1.05,2023-03-10,0134,T,70,6.1NRT,316,8.53,D
-19.94896,123.80093,347.02,1.11,1.05,2023-03-10,0134,T,88,6.1NRT,314.55,43.71,D
-19.95062,123.81142,342.34,1.11,1.05,2023-03-10,0134,T,86,6.1NRT,316.11,33.44,D
-19.95228,123.82191,330.65,1.11,1.05,2023-03-10,0134,T,40,6.1NRT,316.52,11.92,D
-19.95667,123.78882,346.08,1.12,1.05,2023-03-10,0134,T,89,6.1NRT,313.16,43.07,D
-20.0012,123.8886,333.34,1.1,1.05,2023-03-10,0134,T,69,6.1NRT,317.48,14.16,D
-20.00282,123.89902,335.38,1.1,1.05,2023-03-10,0134,T,74,6.1NRT,316.62,17.8,D
-20.03327,124.09457,334.93,1.08,1.04,2023-03-10,0134,T,79,6.1NRT,314.63,21.39,D
-20.03485,124.10477,327.89,1.08,1.04,2023-03-10,0134,T,66,6.1NRT,314.96,10.57,D
-19.9942,123.78233,335.17,1.12,1.05,2023-03-10,0134,T,56,6.1NRT,313.45,20.93,D
-20.01053,123.88699,371.16,1.1,1.05,2023-03-10,0134,T,100,6.1NRT,316.16,114.93,D
-20.01215,123.89742,361.9,1.1,1.05,2023-03-10,0134,T,100,6.1NRT,314.27,81.81,D
-20.04252,124.09298,337.8,1.08,1.04,2023-03-10,0134,T,83,6.1NRT,313.58,25.97,D
-20.01652,123.82635,335.78,1.11,1.05,2023-03-10,0134,T,31,6.1NRT,315.23,19.9,D
-20.01819,123.83681,340.83,1.11,1.05,2023-03-10,0134,T,86,6.1NRT,313.25,31.51,D
-20.02588,123.82472,377.03,1.11,1.05,2023-03-10,0134,T,100,6.1NRT,316.59,143.6,D
-20.02754,123.83517,349.84,1.11,1.05,2023-03-10,0134,T,93,6.1NRT,310.51,52.43,D
-20.06837,124.09303,332.13,1.08,1.04,2023-03-10,0134,T,48,6.1NRT,315.41,13.45,D
-20.08527,124.07966,348.3,1.08,1.04,2023-03-10,0134,T,92,6.1NRT,317.13,43.25,D
-20.09293,124.06787,348.15,1.08,1.04,2023-03-10,0134,T,92,6.1NRT,317.24,43.34,D
-20.09452,124.07807,358.39,1.08,1.04,2023-03-10,0134,T,99,6.1NRT,318.91,69.28,D
-20.1006,124.05609,346.14,1.09,1.04,2023-03-10,0134,T,90,6.1NRT,316.85,42.01,D
-20.10219,124.06629,363.86,1.08,1.04,2023-03-10,0134,T,100,6.1NRT,319.28,87.19,D
-20.10378,124.07649,336.73,1.08,1.04,2023-03-10,0134,T,55,6.1NRT,314.94,19.27,D
-19.96595,123.14487,330.19,1.2,1.09,2023-03-10,0134,T,68,6.1NRT,309.18,18.25,D
-19.96776,123.15614,325.78,1.19,1.09,2023-03-10,0134,T,41,6.1NRT,307.78,11.29,D
-20.10826,124.04428,366.87,1.09,1.04,2023-03-10,0134,T,100,6.1NRT,315.09,101.15,D
-20.10986,124.0545,375.24,1.09,1.04,2023-03-10,0134,T,100,6.1NRT,318.56,132.83,D
-19.97563,123.14315,325.1,1.2,1.09,2023-03-10,0134,T,37,6.1NRT,311.42,9.8,D
-20.11275,124.01199,326.24,1.09,1.04,2023-03-10,0134,T,57,6.1NRT,312.37,9.94,D
-20.12387,124.08353,350.84,1.08,1.04,2023-03-10,0134,T,94,6.1NRT,316.48,47.81,D
-20.12546,124.09375,346.08,1.08,1.04,2023-03-10,0134,T,90,6.1NRT,319.53,37.1,D
-20.12704,124.10397,333.73,1.08,1.04,2023-03-10,0134,T,72,6.1NRT,319.74,13.13,D
-19.96535,123.01651,332.17,1.21,1.1,2023-03-10,0134,T,76,6.1NRT,312.97,21.03,D
-20.13154,124.07175,327.93,1.08,1.04,2023-03-10,0134,T,15,6.1NRT,314.73,9.16,D
-20.13312,124.08195,373.18,1.08,1.04,2023-03-10,0134,T,100,6.1NRT,320.2,119.82,D
-20.1347,124.09217,370.45,1.08,1.04,2023-03-10,0134,T,100,6.1NRT,321.96,106.7,D
-20.13628,124.10239,345.74,1.08,1.04,2023-03-10,0134,T,87,6.1NRT,318.47,31.73,D
-19.97511,123.01477,370.08,1.21,1.1,2023-03-10,0134,T,100,6.1NRT,312.66,132.14,D
-19.97693,123.02619,345.12,1.21,1.09,2023-03-10,0134,T,90,6.1NRT,311.78,47.29,D
-20.1408,124.07017,381.89,1.08,1.04,2023-03-10,0134,T,100,6.1NRT,319.89,161.86,D
-20.14237,124.08037,399.02,1.08,1.04,2023-03-10,0134,T,100,6.1NRT,325.44,255.29,D
-20.14395,124.09059,363.9,1.08,1.04,2023-03-10,0134,T,100,6.1NRT,322.08,83.53,D
-20.14553,124.10081,355.24,1.08,1.04,2023-03-10,0134,T,97,6.1NRT,323.92,55.57,D
-20.1471,124.11101,355.24,1.08,1.04,2023-03-10,0134,T,97,6.1NRT,321.1,52.51,D
-19.976,123.00802,338.96,1.21,1.1,2023-03-10,0134,T,82,6.1NRT,309.87,33.47,D
-19.97788,123.01943,357.01,1.21,1.09,2023-03-10,0134,T,98,6.1NRT,311.9,82.9,D
-20.14635,124.06266,349.95,1.08,1.04,2023-03-10,0134,T,93,6.1NRT,314.07,51.9,D
-20.14795,124.07286,359.84,1.08,1.04,2023-03-10,0134,T,99,6.1NRT,318.64,77.46,D
-20.14956,124.08305,357.01,1.08,1.04,2023-03-10,0134,T,98,6.1NRT,320.61,66.81,D
-20.15118,124.09326,366.59,1.08,1.04,2023-03-10,0134,T,100,6.1NRT,325.1,94.41,D
-20.15279,124.10346,393.32,1.08,1.04,2023-03-10,0134,T,100,6.1NRT,325.53,216.08,D
-20.15439,124.11364,338.67,1.08,1.04,2023-03-10,0134,T,46,6.1NRT,319.03,19.88,D
-20.01174,123.16485,362.66,1.19,1.09,2023-03-10,0134,T,100,6.1NRT,317.42,102.86,D
-20.01357,123.17605,358.89,1.19,1.08,2023-03-10,0134,T,99,6.1NRT,312.57,89.47,D
-20.15399,124.05089,337.27,1.08,1.04,2023-03-10,0134,T,82,6.1NRT,312.3,26.42,D
-20.1556,124.0611,340.16,1.08,1.04,2023-03-10,0134,T,85,6.1NRT,314.53,30.98,D
-20.15721,124.0713,338.63,1.08,1.04,2023-03-10,0134,T,83,6.1NRT,317.38,27.39,D
-20.15882,124.08149,392.31,1.08,1.04,2023-03-10,0134,T,100,6.1NRT,323.29,216.32,D
-20.16042,124.09167,389.35,1.08,1.04,2023-03-10,0134,T,100,6.1NRT,319.53,196.77,D
-20.16202,124.10188,397.58,1.08,1.04,2023-03-10,0134,T,100,6.1NRT,323.35,242.91,D
-20.16362,124.11205,389.86,1.08,1.04,2023-03-10,0134,T,100,6.1NRT,324.33,195.46,D
-20.01958,123.15193,361.37,1.19,1.09,2023-03-10,0134,T,100,6.1NRT,311.21,94.42,D
-20.02141,123.16315,365.14,1.19,1.09,2023-03-10,0134,T,100,6.1NRT,309.95,109.94,D
-20.16165,124.03909,409,1.09,1.04,2023-03-10,0134,T,100,6.1NRT,323.21,334.85,D
-20.16326,124.04932,367.67,1.08,1.04,2023-03-10,0134,T,100,6.1NRT,319.59,105.4,D
-20.16486,124.05954,378.4,1.08,1.04,2023-03-10,0134,T,100,6.1NRT,318.25,147.8,D
-20.16646,124.06973,396.98,1.08,1.04,2023-03-10,0134,T,100,6.1NRT,318.5,246.59,D
-20.16806,124.07992,352.85,1.08,1.04,2023-03-10,0134,T,95,6.1NRT,312.77,57.9,D
-20.17126,124.10029,357.74,1.08,1.04,2023-03-10,0134,T,96,6.1NRT,313.7,64.19,D
-20.17286,124.11046,349.73,1.08,1.04,2023-03-10,0134,T,87,6.1NRT,315.74,42.38,D
-20.18239,124.17129,332.52,1.07,1.03,2023-03-10,0134,T,42,6.1NRT,315.7,14.39,D
